,created_at,sentiment,text
107,Tue Nov 13 06:28:14 +0000 2018,0.6,"I liked a @YouTube video https://t.co/4TfoonVR4c Jeffree Star, Miley Cyrus, Trump and Everything California Fires, VA ""Trainwreck"""
108,Tue Nov 13 06:28:13 +0000 2018,-0.5,Who is rendering our FBI and DOJ almost useless when it comes to cheating lying and criminal Dems that should have… https://t.co/WIhyUBsbOu
109,Tue Nov 13 06:28:12 +0000 2018,0.0,@grayfoxv @LevequeThots @bbusa617 Its actually trump capitalism vs. Soros globalism! Keep fighting!
110,Tue Nov 13 06:28:11 +0000 2018,0.0,"@realDonaldTrump Mr. Trump! Amazon is coming to Virginia.😆

🇺🇸V🇺🇸I🇺🇸R🇺🇸G🇺🇸I🇺🇸N🇺🇸I🇺🇸A🇺🇸
🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼

https://t.co/2buGbsojg3"
111,Tue Nov 13 06:28:10 +0000 2018,0.0,@ReneeLibby2 Something is up.  Is tRump just going to bail?  This was my thought.
112,Tue Nov 13 06:28:09 +0000 2018,-0.7,@albinaugustin19 @libartdesign @iliveinmyhat @Randomvoter99 @MarkSalter55 @chrislhayes Sinema made really idiotic c… https://t.co/kv588RsUUD
113,Tue Nov 13 06:28:09 +0000 2018,0.5,"@ayasgirl @benshapiro Do a stuffed chihuahua and call it a Ben Sha-perro.

Make sure you roll the rrrrr.

For refer… https://t.co/KCITnFQrWH"
114,Tue Nov 13 06:28:03 +0000 2018,-0.6,Well THAT'S awkward. https://t.co/EoohKbCd0T
115,Tue Nov 13 06:28:03 +0000 2018,0.0,"@tweetmommybop @tamiguitar #ShowAndShame is the best way to stop this awful, #TrickleDownHate that Trump started.… https://t.co/fcueL30ufJ"
116,Tue Nov 13 06:28:02 +0000 2018,0.0,".@edstetzer on #Evangelical #research &amp; response re #immigration #caravan... 

https://t.co/dk1ZQTsC5t

#justice"
117,Tue Nov 13 06:28:02 +0000 2018,0.0,"Trump, California battle over climate and cause of fires https://t.co/wRLXjaejGg"
118,Tue Nov 13 06:28:00 +0000 2018,0.0,"I shudder to think who he’s going to replace her with. 
But I’d bet that person would be a Trump ass kisser, unqual… https://t.co/YwQLQcrSP0"
119,Tue Nov 13 06:28:00 +0000 2018,-0.2,"Libs: Trump's a racist!

Trump: Nominates First Black Woman to Serve at Brigadier General Rank https://t.co/tmPuSVGBHg via @BreitbartNews"
120,Tue Nov 13 06:27:57 +0000 2018,-0.1,SHITBALLS 10ish.  Brad Parscale may be dark.  And Jr. is in deep.  https://t.co/lU3nMK88A9
121,Tue Nov 13 06:27:56 +0000 2018,-0.1,"@krassenstein ———

I know a few.  

They just go deeper and deeper under The Trump Trance on a daily basis.   

It’s a phenomenon. 😣😖😞

————"
